title,description,link,pub_date,search_query,sentiment,collected_at,processed_at
Governo do Piauí anuncia R$ 5 milhões para startups de IA,Recursos serão destinados a empresas nascentes na área de tecnologia e inovação,https://exemplo.com/noticia1,2024-01-15,IA Piauí,positivo,2025-09-02 17:03:33,2025-09-02 17:03:33
UFPI lança primeiro curso de especialização em Inteligência Artificial do estado,Curso visa capacitar profissionais para o mercado em crescimento de TI no estado,https://exemplo.com/noticia2,2024-01-14,Inteligência Artificial Piauí,positivo,2025-09-02 17:03:33,2025-09-02 17:03:33
Preocupação com uso ético de IA em processos seletivos no Piauí,MPT questiona falta de transparência em sistemas automatizados de recrutamento,https://exemplo.com/noticia3,2024-01-13,IA Piauí,negativo,2025-09-02 17:03:33,2025-09-02 17:03:33
Startup piauiense de IA recebe investimento de fundo internacional,Fundo de investimento aporta R$ 2 milhões em empresa local de tecnologia,https://exemplo.com/noticia4,2024-01-12,Tecnologia Piauí,positivo,2025-09-02 17:03:33,2025-09-02 17:03:33
Debate no legislativo estadual sobre regulamentação de IA,Projeto de lei busca estabelecer diretrizes para uso responsável de IA no estado,https://exemplo.com/noticia5,2024-01-11,IA Piauí,neutro,2025-09-02 17:03:33,2025-09-02 17:03:33
Escolas estaduais do Piauí implementam ferramentas de IA na educação,Plataformas adaptativas serão usadas para personalizar ensino em 50 escolas,https://exemplo.com/noticia6,2024-01-10,Educação Piauí,positivo,2025-09-02 17:03:33,2025-09-02 17:03:33
Especialistas alertam para riscos de viés algorítmico em sistemas públicos,Estudo mostra que algoritmos podem perpetuar discriminações em sistemas governamentals,https://exemplo.com/noticia7,2024-01-09,IA Piauí,negativo,2025-09-02 17:03:33,2025-09-02 17:03:33
Parque Tecnológico do Piauí atrai empresas de tecnologia e IA,Cinco novas empresas de tecnologia se instalaram no parque este ano,https://exemplo.com/noticia8,2024-01-08,Tecnologia Piauí,positivo,2025-09-02 17:03:33,2025-09-02 17:03:33
Pesquisadores da UESPI desenvolvem IA para agricultura familiar,Sistema ajuda pequenos agricultores a otimizar produção e reduzir perdas,https://exemplo.com/noticia9,2024-01-07,IA Piauí,positivo,2025-09-02 17:03:33,2025-09-02 17:03:33
Prefeitura de Teresina implementa chatbot com IA para serviços públicos,Atendimento automatizado já responde 70% das demandas da população,https://exemplo.com/noticia10,2024-01-06,IA Piauí,positivo,2025-09-02 17:03:33,2025-09-02 17:03:33
